
                                                 Customer Listing
                                                 --------------------





RPT Name: Customer     Date:                                      08/18/25
 5430     Deschutes Products               Bend
 5435     Second Season Sports             Bend
 5440     Stone's Ski & Sports             Bend
 5445     Stowell's Ski & Sport            Bend
 5450     Copeland Sports                  Beaverton
 5455     North Shore Surf & Sport         Beaverton
 5460     Players Racquet Shop             Beaverton
 5465     Bend Bandits Merchandise         Bend
 5470     G I Joe's Inc                    Albany
 5475     Lithia Sports Ltd                Ashland
 5480     Coast Fitness                    Astoria
 5485     Charlie's Outdoor Specialties    Baker City
 5490     Athletic Department              Beaverton
 5495     Action Sports                    Clinton
 5500     Cushing Sporting Goods           Cushing
 5505     Sport Shot                       Cushing
 5510     Anderson's Sporting Goods Inc    Albany
 5515     Larry Black Sporting Goods       Broken Arrow
 5520     Wesley's Sporting Goods          Caddo
 5525     Jocks Nitch Sporting Goods       Claremore
 5530     Lucky Starr Sport Shop           Braggs
 5535     Tallent's Sport Shop             Bristow
 5540     All American Pro Shop            Broken Arrow
 5545     Buck's Sporting Goods            Broken Arrow
 5550     Coaches Corner                   Ardmore
 5555     Curtis Sports Inc                Bartlesville
 5560     C & J Sporting Goods             Bethany
 5565     Sport Spot                       Blackwell
 5570     Sports Plus Inc                  Bellefontaine
 5575     Sportsman                        Ada
 5580     Littlefield's Sporting Goods     Afton
 5585     Super Sports                     Altus
 5590     Sexton's Sport Ctr               Apache
 5595     Barn Out Back                    Avon
 5600     All About Sports                 Beavercreek
 5605     Bizzari Brothers Sportswear      Bellaire
 5610     Outpost                          Apple Creek
 5615     Gill's Surf & Sport              Ashtabula
 5620     Ronicks Sports & Apparel         Ashtabula
 5625     Sports & Sports                  Ashtabula
 5630     Sun Valley Sports Inc            Akron
 5635     Vip Sports                       Akron
 5640     World Of Weights Inc             Akron
 5645     Duggle Bag Inc                   Alliance
 5650     Sports Connection                Amelia
 5655     Koenig Sporting Goods            Akron
 5660     Kranker King Inc                 Akron
 5665     M C Sports                       Akron
 5670     Pronio Sports                    Akron
 5675     Sporting Experience              Barneveld
 5680     Ais Sports                       Akron
 5685     Akron Sport Shack                Akron
 5690     Finish Line                      Akron
 5695     Thurston Sports Inc              Auburn
 5700     Sport's Shack                    Babylon
 5705     All Seasons Sportarama           Baldwin
 5710     Sportsland Bk                    Baldwin
 5715     Mountain Sports                  Barneveld
 5720     Port Of Sports Ski Shops         Amherst
 5725     Amityville Harbor Sports Ctr     Amityville
 5730     Betz's Sport Shop                Arkville
 5735     Bob Nolan's Sporting Goods Co    Auburn
 5740     Herman's World-sporting Goods    Albany
 5745     Klein's All Sports               Albany
 5750     Four Seasons Sports Ctr          Alexandria Bay
 5755     Alfred Sports Ctr                Alfred
 5760     Las Vegas Sports Ctr             Las Vegas
 5765     M & G Sporting Goods Inc         Las Vegas
 5770     Vic De Mayo's Inc                Accord
 5775     Kinne's Sports Shop              Alabama
 5780     Champs Sports                    Las Vegas
 5785     Desert Rock Sports               Las Vegas
 5790     Holiday Hockey & Sport           Las Vegas
 5795     Jock Shop                        Las Vegas
 5800     Las Vegas Sports                 Las Vegas
 5805     Sportco Sporting Goods Inc       Henderson
 5810     Warren Sports                    Henderson
 5815     Big 5 Sporting Goods             Las Vegas
 5820     Call It Class                    Las Vegas
 5825     Sporting Rage                    Carson City
 5830     Northwest Sports                 Dayton
 5835     Donnelley Sports                 Elko
 5840     Sports Hound                     Elko
 5845     Sportsworld                      Ely
 5850     Sportz Outdoor                   Albuquerque
 5855     Mountain Sports                  Angel Fire
 5860     Artesia Sports                   Artesia
 5865     One Mountain Sports              Carson City
 5870     Southwest Sporting Goods         Albuquerque
 5875     Sports 'n More                   Albuquerque
 5880     Sports Galore                    Albuquerque
 5885     Sports Mania                     Albuquerque
 5890     Sports Zone                      Albuquerque
 5895     Lobo Store At The Pit            Albuquerque
 5900     Play It Again Sports             Albuquerque
 5905     Scoreboard                       Albuquerque
 5910     Champs Sports                    Albuquerque
 5915     Charlie's Sporting Goods         Albuquerque
 5920     Gardenswartz Team Sales          Albuquerque
 5925     Outdoor Adventures               Alamogordo
 5930     Winners' Circle                  Alamogordo
 5935     Batter's Edge                    Albuquerque
 5940     Big 5 Sporting Goods             Albuquerque
 5945     Brace-up                         Albuquerque
 5950     Jfd Sports                       Bloomfield
 5955     Efinger Sporting Goods Co        Bound Brook
 5960     Stokes Forest Sports Shop        Branchville
 5965     All Sport                        Brick
 5970     Roberts Sports Corner            Bernardsville
 5975     Rich's World Of Sports           Blairstown
 5980     Inside Out                       Belvidere
 5985     Bergenfield Sport Ctr            Bergenfield
 5990     Sport's Page                     Berkeley Heights
 5995     Howard's Sporting Goods          Berlin
 6000     Sportsmen's Paradise Inc         Atco
 6005     Skylands Park                    Augusta
 6010     All Star Sport Ctr               Bayonne
 6015     D & S Sports                     Belvidere
 6020     Franconia Sport Shop             Franconia
 6025     Tonto Sports                     Freedom
 6030     Sports Fanatic                   Absecon
 6035     Champs Sports                    Asbury Park
 6040     Sports Stuff Inc                 Concord
 6045     True Sport Inc                   Concord
 6050     Waite Sports Specialists         Concord
 6055     Covered Bridge Sport Shop        Dover
 6060     Exeter Sports Shop               Exeter
 6065     C2 Board Shop                    Center Ossipee
 6070     Ducret's Sporting Goods          Colebrook
 6075     Everett Sports Ctr               Concord
 6080     Olympia Sports Ctr               Concord
 6085     Ben's Ski & Sports Ctr           Berlin
 6090     Sport-about Charlie              Berlin
 6095     Twin River Sports Shop           Bristol
 6100     Nebraska Sporting Goods          Fremont
 6105     Marty's Sport It                 Andover
 6110     Place In The Woods Sporting      Antrim
 6115     Mvp Sports                       Bedford
 6120     Klaus' Ski & Sport               Belmont
 6125     Tweet's Sport Shop               Columbus
 6130     K H's Sports Shop                Crete
 6135     Bedlan's Sporting Goods Inc      Fairbury
 6140     Lou's Sporting Goods             Fremont
 6145     Team Spirit                      Bellevue
 6150     Coast To Coast Store             Blair
 6155     Scheffler Sporting Goods         Blair
 6160     Dad's Calamus East               Burwell
 6165     Sport Shop                       Auburn
 6170     Wilson Sports                    Aurora
 6175     Bassett Sporting Goods           Bassett
 6180     Dawg's Hut                       Beatrice
 6185     Uhl's Sporting Goods             Beatrice
 6190     Goodroad Sports                  Jamestown
 6195     Sportsmans Supply Depot          Lisbon
 6200     Discount Sports                  Ainsworth
 6205     Athletics Plus                   Arapahoe
 6210     Sports Den                       Fargo
 6215     Stan Kostka Sporting Goods       Fargo
 6220     Bill's Sports                    Garrison
 6225     Gerrells Sports Ctr Inc          Grand Forks
 6230     Team Spirit                      Grand Forks
 6235     Outdoorsman                      Fargo
 6240     Push Pedal Pull                  Fargo
 6245     Scheels All Sports               Fargo
 6250     Scheels Sport Shops              Fargo
 6255     Carrington All Sports            Carrington
 6260     He-mart                          Cavalier
 6265     Gerrells Sports Ctr              Devils Lake
 6270     Big Sky Athlete Inc              Dickinson
 6275     Uptown Athletics                 Brevard
 6280     Riverfront Sports Inc            Bismarck
 6285     Scheels All Sports               Bismarck
 6290     Sioux Sporting Goods Co          Bismarck
 6295     We're Good Sports                Blowing Rock
 6300     Sage Sport                       Boone
 6305     Sports Fanatic                   Boone
 6310     Marcum's                         Brevard
 6315     Windsurfing Hatteras             Avon
 6320     Dan's Sporting Goods             Bennett
 6325     Goshen Supply Co                 Beulaville
 6330     Sherman's Sports                 Asheville
 6335     Sportstuff                       Asheville
 6340     Wnc Sporting Goods               Asheville
 6345     Hatteras Wind & Surf             Avon
 6350     Kitty Hawk Sports Inc            Avon
 6355     Sportwerks                       Asheboro
 6360     Williams Sportsman Ctr           Asheboro
 6365     Cheese's All Pro Sports          Asheville
 6370     Legends Sporting Goods           Asheville
 6375     Coyotes Den Sports Shop          Chester
 6380     Outback Sports                   Albemarle
 6385     Young Guns Inc                   Apex
 6390     Sports Attic                     Asheboro
 6395     Chalet Sports                    Bozeman
 6400     Second Wind Sports               Bozeman
 6405     Sports Shack                     Bozeman
 6410     Fran Johnson's Sports Shop       Butte
 6415     Sport Karate Supply              Billings
 6420     Sunshine Sports                  Billings
 6425     Time Out Sports Inc              Billings
 6430     Universal Athletic Svc           Billings
