Customer Data
------------------


RPT Name: Customer
Date: 08/18/25 , Time: 15:14:45
Dr. Author: K.H Ansari


"Customer Number","Customer Name","Address","Balance","City"
3315,"Lagt Kort Ligger","Bridgevagen 106",1150.72,"Malmo"
3320,"First Down Football","354 Edmonds Ave",1248.67,"Loudon"
3325,"Stay Afloat Swimming","128 High Street",1227.78,"Lula"
3330,"Ufo Frisbee","48 River St.",165.35,"Pierre"
3333,"Tarik","Pawan Bihar",65438,"Muradabad"
3335,"Sukellusvarustus","Kallonkuljunkuja 2",1169.04,"Turku"
3340,"U-jump Parachuting","10 Ripcord Row",1178.37,"Felldown"
3345,"Pocket Billiards Co.","44 Saunders Ave.",0,"Phelan"
3350,"Birdy's Badminton","125 Federal St",1189.04,"Hydro"
3355,"Auffi Bergausrustung","Tiroler Landesstr. 5",1237.89,"Innsbruck"
3360,"Dark Alley Bowling","45 Chestnut St",0,"Locust"
3365,"Hard Knocks Skating","97 Morton St.",1196.67,"Laramie"
3370,"Kempeleen Intersport","Harjusenkatu 21",1182.18,"Oulu"
3375,"Le Hollandais volant","35, rue des Oiseaux",0,"Rennes"
3380,"Jack's Jacksssss","45 Walnut Ave.",614.93,"Boston"
3385,"Blue Line Hockey","15 Farquah Ct",0,"Orrington"
3390,"Stickywicket Cricket","456 Hampstead Road",1181.16,"Nisswa"
3395,"Off The Wall","20 Leedsville Ave",1211.3,"Export"
3400,"Second Skin Scuba","79 Farrar Ave",1214.74,"Yuma"
3405,"Fallen Arch Running","49 Millmont St",1166.03,"Codys Corner"
3410,"Spike's Volleyball","34 Dudley St",1173.46,"Genoa"
3415,"Mike's Sports","2454 Industrial Rd",0,"Cambridge"
3420,"Aqua Sport","1234 West Oak Dr",0,"Philadelphia"
3425,"Abc Sports","3233 Pine St",0,"Newtown"
3430,"Athlete's Track","",0,"Vienna"
3435,"Soccer Universe","",0,"Oak Brook"
3440,"Sports Usa","322 Beach Rd",0,"Boca Raton"
3445,"Surf and Sport World","3474 Ocean Dr",0,"Jacksonville"
3450,"Play Sports","4343 Belmont",0,"Boston"
3455,"Alpine Snow Sports","34 Harrington Street",0,"Los Angeles"
3460,"Damon's Toys","Shop 14",0,"Brighton"
3465,"All Stick Sports","39 Halston Avenue",0,"Sydney"
3470,"Hook, Line & Sinker","86 Morrison Grove",55933.78,"Ravine Bay"
3475,"L'ecole du Tennis","Rue Marigny, 46",0,"Paris"
3480,"Runners Anonymous","Unit 6",0,"Cricksville"
3485,"Armadale Fitness","39 Main Street",0,"Armadale"
3490,"Tennis, Anyone?","1004 Cleveland Way",0,"Scarsfield"
3495,"All Good Sports","29 Harrow Avenue",9803.98,"Somerset"
3500,"Sport Emporium","Shop 39",0,"Allemede"
3505,"The Hollywood Bowl","35 Appleton Drive",0,"Altona"
3510,"Wheels-a-mania","980 Hamilton Avene",7647.14,"Jesscott"
3515,"Tutto Sport","via Pavone, 365",0,"Roma"
3520,"Fitz's Flying Freaks","9483 Hamilton Drive",0,"Sonoma"
3525,"Tim's Sporting Goods","883 Joseph's Place",23983.84,"Ware"
3530,"Chambre du Sport","rue des Esprits",0,"Orlean"
3535,"Balls 'n' Sticks","Shop 90",0,"North Hills"
3540,"Wheelchair Athletes","87 Spring Street",0,"Chicago"
3545,"Dawn of Sport","49 St. John's Mews",0,"Bath"
3550,"Sport Mondo","via Pensieri, 59",0,"Milano"
3555,"Carmel's Games","29 Columbus Avenue",0,"Hartford"
3560,"Olympic Sports","14404 NE 20TH ST",0,"Bellevue"
3565,"Pedersen's Ski & Sports","181 BELLEVUE SQ",22021.15,"Bellevue"
3570,"Action Sports","217 N OLYMPIC AVE",0,"Arlington"
3575,"Arena Sporting Goods","120 WINSLOW WAY W",1672.29,"Bainbridge Isle"
3580,"Base Camp Inc","901 W HOLLY ST",0,"Bellingham"
3585,"Champs Sports","176 BELLEVUE SQ",0,"Bellevue"
3590,"Changes","11200 SE 6TH ST",0,"Bellevue"
3595,"La Crosse Northwest","120 102ND AVE SE",22206.7,"Bellevue"
3600,"Prostock Athletic Supply","1515 CORNWALL AVE",0,"Bellingham"
3605,"Diamond Sports Shop","30848 3RD AVE",0,"Black Diamond"
3610,"Sports Authority","800 156TH AVE NE",0,"Bellevue"
3615,"Sportscenter Nw","15600 NE 8TH ST",0,"Bellevue"
3620,"Apple River Sports","945 US HWY",45174.65,"Amery"
3625,"Tnt Sports","108 KELLER AVE N",21539.43,"Amery"
3630,"Gorilla & Sons","1530 CORNWALL AVE",7629.42,"Bellingham"
3635,"Great Adventure","201 E CHESTNUT ST",0,"Bellingham"
3640,"Bcw Sports","946 W NORTHLAND AVE",42083.67,"Appleton"
3645,"E J Arena Sports","3127 W SPENCER ST",0,"Appleton"
3650,"Diamond Hitch Sports","18008 BOTHELL WAY SE",32072,"Bothell"
3655,"D & A Sporting Goods","413 S 4TH ST",0,"Abbotsford"
3660,"Sonsalla's Sport Hdqrs","28095 MAIN",0,"Arcadia"
3665,"Petenwell Sport Shop","1903 BIGHORN DR",8807.14,"Arkdale"
3670,"T J's Sport & Ski","323 SUPERIOR ST",2619.25,"Antigo"
3675,"Athletics North","324 FOX RIVER DR",0,"Appleton"
3680,"Jerry's Sports Svc","3100 RIVERSIDE DR",0,"Beloit"
3685,"Len Schmidt Sporting Goods","4301 W WISCONSIN AVE",0,"Appleton"
3690,"Scheels Sports","4301 W WISCONSIN AVE",0,"Appleton"
3695,"Zide's Sport Shop Inc","500 MALL RD Suite 790",97.95,"Barboursville"
3700,"Locker Room","419 MAIN ST W",0,"Ashland"
3705,"Sports Stuff","513 MAIN ST W",8853.17,"Ashland"
3710,"Sugar River Sports","479 STATE RD 69",0,"Belleville"
3715,"Score Sportscenter","610 MERCER MALL",35042.77,"Bluefield"
3720,"B & G Pro Shop & Sportsman","ROUTE 20",0,"Bluewell"
3725,"Waterfront Sporting Goods","RR 2 BOX 0",0,"Alderson"
3730,"Koenig Sporting Goods","500 MALL RD Suite 210",0,"Barboursville"
3735,"Littlejohn Sporting Goods","703 S EISENHOWER DR",0,"Beckley"
3740,"Outdoorsmen Sporting Goods","RR 16 BOX 1837",0,"Beckley"
3745,"Spartan Team Warehouse","209 DRY HILL RD",0,"Beckley"
3750,"Finish Line","2399 MEADOWBROOK MALL",0,"Bridgeport"
3755,"Zides Sport ","MEADOWBROOK MALL Suite 140",17782.06,"Bridgeport"
3760,"Big Sandy Sports Shop","185 MILL ST",17550.58,"Bruceton Mills"
3765,"Capon Sport Shop","SPRINGFIELD GRADE RD",4973.1,"Capon Bridge"
3770,"Down Your Alley","1022 BRIDGE RD",0,"Charleston"
3775,"Sportin' Life Inc","3906 MACCORKLE AVE SE",0,"Charleston"
3780,"Shorty's Sports Shop","ROUTE 30 BOX 400",39374.57,"Chester"
3785,"Als Sport n Shop","848 S WASHINGTON",24226.29,"Afton"
3790,"Lone Pine Sports","550 WASHINGTON ST",0,"Afton"
3795,"Hidden Valley Sports","",0,"Baggs"
3800,"Lain's Sport Ctr & Motel","200 BUDD AVE",0,"Big Piney"
3805,"Cowboy Sports","171 US HWY E",23437.63,"Buffalo"
3810,"Sports Lure","66 S MAIN ST",0,"Buffalo"
3815,"Bush-wells Sporting Goods Co","500 S CTR ST",0,"Casper"
3820,"Dean's Sporting Goods","260 S CTR ST",0,"Casper"
3825,"Gart Sports","601 SE WYOMING BLVD",0,"Casper"
3830,"Mountain Sports","543 S CTR ST",0,"Casper"
3835,"Second Season Sports","3680 CY AVE",0,"Casper"
3840,"Timberline Sporting Goods","4900 CY AVE",22724.4,"Casper"
3845,"Lee Snow's Sporting Goods","628 HARMONY LN",0,"Cheyenne"
3850,"Peoples Sporting Goods","4516 STILLWATER AVE",0,"Cheyenne"
3855,"All Star Sports","1025 12TH ST",30512.46,"Cody"
3860,"Sunlight Sports","1251 SHERIDAN AVE",0,"Cody"
3865,"Spoke & Edge Sports","900 CAMEL DR",0,"Gillette"
3870,"Rogers Sport Ctr","2812 BIG HORN AVE",5303.31,"Cody"
3875,"M & K Sporting Goods","RR 2",0,"Alburg"
3880,"Mountain Sports Ltd","1021 COMMONWEALTH AVE",0,"Bristol"
3885,"Powder Horn Sporting","138 S KIMBALL ST",0,"Casper"
3890,"Bristol Sporting Goods Inc","1385 LEE HWY",0,"Bristol"
3895,"Bullwinkle's","6000 CY AVE",27513.34,"Casper"
3900,"Curotz Sports Ctr","ROUTE 19 N",8623.1,"Clarksburg"
3905,"Sport Shack","114 N MAIN ST",1589.98,"Blacksburg"
3910,"Prime Sports","2077 CHARLESTON TOWN CTR",0,"Charleston"
3915,"Koenig Sporting Goods","MEADOWBROOK MALL Suite 820",13642.5,"Bridgeport"
3920,"Rakes Sporting Goods","ROUTE 904",31973.31,"Bassett"
3925,"Burrows Sport Shop","97 MAIN ST",0,"Brattleboro"
3930,"Tomasi's Sport Ctr","651 MAIN ST",0,"Bennington"
3935,"Thygesen Sports","51 SMITH ST",0,"Barre"
3940,"Sportstuff","101 MONROE ST",0,"Cabin Creek"
3945,"T & T Sports","205 W GRAND AVE",24747.24,"Beloit"
3950,"In Season Sports","1040 N EISENHOWER DR",0,"Beckley"
3955,"Locker Room Sports","86 N MAIN ST",0,"Barre"
3960,"Dam Sport Shop","319 MADISON ST",0,"Beaver Dam"
3965,"Sports Wave","THRASHER RD",0,"Ascutney"
3970,"Bodin's On The Lake","HIGHWAY 2 LAKE SHORE DR W",35985.68,"Ashland"
3975,"Denis Sport Shop","555 N CASALOMA DR",0,"Appleton"
3980,"Big River Sports","2156 STATE RD 13",0,"Adams"
3985,"Yeager's Sporting Goods/marine","3101 NORTHWEST AVE",37737.68,"Bellingham"
3990,"Wilderness Sports","14340 NE 20TH ST",0,"Bellevue"
3995,"Big 5 Sporting Goods","1 BELLIS FAIR PKY Suite 202",0,"Bellingham"
4000,"Duke's Sport Shop","160 RIVER ST",0,"Milton"
4005,"Island Sports","321 HIGH SCHOOL RD NE",0,"Bainbridge Isle"
4010,"Village Sport Shop","ROUTE 5",15179.76,"Lyndonville"
4015,"Ernie's Border Sports","DERBY RD",0,"Derby"
4020,"St John's Sporting Goods","55 MAIN ST",15218.5,"Fair Haven"
4025,"Bo Maxx Crafts & Sports Cards","72 MAIN ST",0,"Burlington"
4030,"Replay Sports","89 ROOSEVELT HWY",0,"Colchester"
4035,"Intersport Inc","2522 S SHIRLINGTON RD",0,"Arlington"
4040,"Just Sports Inc","130 PRIM RD",0,"Colchester"
4045,"Thomas Sporting Goods","27 MAIN ST",0,"Bristol"
4050,"Galanes Sport Shop","116 MAIN ST",831.19,"Brattleboro"
4055,"Loading Bench Inc","7253 MAPLE PL",139.95,"Annandale"
4060,"Sport-about","58 PEARL ST",2312.86,"Essex Junction"
4065,"Casual Adventure","3451 WASHINGTON BLVD",0,"Arlington"
4070,"Le Blanc Sports Inc","53 CENTER RD",0,"Essex Junction"
4075,"Duke's Sport Shop","165 MAIN",0,"Enosburg Falls"
4080,"Forth'n Goal Sports","68 MAIN ST",2540.8,"Middlebury"
4085,"Manchester Sport Shop","ROUTE 7A",31305.79,"Manchester Ctr"
4090,"Team Spirit Inc","5801 DUKE ST Suite 108",0,"Alexandria"
4095,"Wheeler Sports","66 BROAD ST",27926,"Lyndonville"
4100,"Good Sports","PO BOX 141",18672.04,"Annandale"
4105,"Pacers","1301 KING ST",0,"Alexandria"
4110,"Big Pine Sports","310 N MILBURN RD",23405.16,"Fairview"
4115,"Carlisle's Sport Shop","125 PLEASANT ST EXT",12652.5,"Ludlow"
4120,"Cedar Mountain Sports","921 S MAIN ST",0,"Cedar City"
4125,"Big 5 Sporting Goods","4055 128TH AVE SE",25044.88,"Bellevue"
4130,"Village Sports Den","365 N MAIN ST",4520.85,"Bountiful"
4135,"Alta Sports","PO BOX 8052",21201.15,"Alta"
4140,"Sports Fever","200 WESTGATE PKY",14007.64,"Amarillo"
4145,"Athletic X-press","7701 W INTERSTATE 40 Suite 102",18258.09,"Amarillo"
4150,"Hub City Sports","418 W 3RD ST",0,"Alice"
4155,"Into The Outdoors Inc","1415 S 1ST ST",0,"Abilene"
4160,"Rock Creek Down Under","44 FRAZIER AVE",0,"Chattanooga"
4165,"Superior Sporting Goods","105 S HILL ST",8418.55,"Athens"
4170,"Sports Fantasy","5252 HICKORY HOLLOW PKY",0,"Antioch"
4175,"Polar Outlet","821 JACKSON BLVD Suite 9",0,"Rapid City"
4180,"Dakota Sports Inc","700 JACKSON BLVD",11612.35,"Rapid City"
4185,"American Sports","45587 251ST ST",0,"Montrose"
4190,"Athletic Attic","2150 NORTHWOODS BLVD",0,"Charleston"
4195,"Sportsworld","114 E CHURCH ST",0,"Bishopville"
4200,"Four Seasons Sporting Goods","3101 N MAIN ST SP P4",12306.74,"Anderson"
4205,"A & J Sports Inc","1186 EDDIE DOWLING HWY",0,"North Smithfield"
4210,"Bennett Sports","900 PHENIX AVE",0,"Cranston"
4215,"Dwight E Kuntz Sporting Goods","621 QUAKER RUN RD",22315.54,"Aspers"
4220,"Soc-hoc Sports Shop","3900 HAMILTON BLVD",1761.51,"Allentown"
4225,"Finish Line","17 S 12TH ST",19010.97,"Allentown"
4230,"Big 5 Sporting Goods","61545 S HWY 97",0,"Bend"
4235,"Sportmart","2780 SW CEDAR HILLS BLVD",0,"Beaverton"
4240,"Sport Spot","103 N BROADWAY ST",0,"Cleveland"
4245,"Bill's Sporting Goods","1016 S LYNN RIGGS BLVD",0,"Claremore"
4250,"Ron's Sports World","7801 NW 23RD ST",1588.91,"Bethany"
4255,"Zide's Sports Shop","1002 E STATE ST",0,"Athens"
4260,"Pro Image Inc","3301 N RIDGE RD E",13329.29,"Ashtabula"
4265,"Heffner's Sports Specialties","1650 W MARKET ST",0,"Akron"
4270,"Bob's Sports","2400 ROMIG RD",0,"Akron"
4275,"Laux Sporting Goods Inc","3931 MAPLE RD",0,"Amherst"
4280,"Mike De Rossi Sports Inc","1823 WESTERN AVE",0,"Albany"
4285,"Adventure Out Inc","1475 WESTERN AVE",1025.91,"Albany"
4290,"Sports Authority","1431 W SUNSET RD",0,"Henderson"
4295,"Sports Magic","PO BOX 343",0,"Dayton"
4300,"Kevin's Ski & Sports Rentals","1941 N CARSON ST",31355.55,"Carson City"
4305,"Oshman's Sporting Goods","5000 MENAUL BLVD NE",23859.04,"Albuquerque"
4310,"Highpoint Pro Shop","4300 LANDAU ST NE",31651.54,"Albuquerque"
4315,"Sportsmen's Center","US HIGHWAY 130",15072.82,"Bordentown"
4320,"Ask Us Sports","52 S WASHINGTON AVE",0,"Bergenfield"
4325,"Sweats N Sports","333 US HWY",0,"Bayville"
4330,"Atco Sports","2209 ATCO AVE",15654.45,"Atco"
4335,"Center Harbor Sport Shop","MAIN ST",0,"Center Harbor"
4340,"Joe Jone's Ski Shop & Sports","HIGHWAY 49 & I 93",22077.27,"Campton"
4345,"Action Sports Ctr","710 MAIN ST Suite A",23075.18,"Creighton"
4350,"Dewey's Sporting Goods","HIGHWAY 385",0,"Bridgeport"
4355,"Dugout","411 CT ST",32934.37,"Beatrice"
4360,"Prairie Sports Imporium","111 N 14TH ST",0,"Ashland"
4365,"Mon Dak Sports Ctr & Pawn","219 1ST ST E",27697.12,"Dickinson"
4370,"Coyote's Den","4434 3RD AVE W",0,"Dickinson"
4375,"Pro-am Sports","1302 BLOWING ROCK RD",0,"Boone"
4380,"Bob's Sporting Goods","2095 US HWY S",0,"Biscoe"
4385,"Champs Sports","800 BREVARD RD",22651.9,"Asheville"
4390,"Sagesport","440 RANDOLPH MALL",0,"Asheboro"
4395,"Sports Connection","3100 HARRISON AVE",29979.39,"Butte"
4400,"Gart Sports","100 24TH ST W",1178.72,"Billings"
4405,"Fort","HIGHWAY 10 E",0,"Big Timber"
4410,"High Five Sports Inc","212 CLINTON BLVD",8017.29,"Clinton"
4415,"Judge-little Co","158 N SHARPE AVE",0,"Cleveland"
4420,"Bowen Sporting Goods","117 N 4TH ST",0,"Canton"
4425,"Beach's Sporting Goods","112 S MAIN ST",0,"Brookfield"
4430,"Sport Stop","15325 MANCHESTER RD",8568.72,"Ballwin"
4435,"Etcetera","802 PAUL BUNYAN DR SW",0,"Bemidji"
4440,"Minnesota Twins Pro Shop","15050 CEDAR AVE Suite 109",7969.16,"Apple Valley"
4445,"Anoka Sport Shack","202 E MAIN ST",24640.14,"Anoka"
4450,"Provisions Sport Shop","112 W LUDINGTON AVE",39688.81,"Ludington"
4455,"Sports Connection","1527 HORTON RD",0,"Jackson"
4460,"Indian Hill Trading Post","ROUTE 15",30193.49,"Greenville"
4465,"Cahill's Sporting Goods","102 E MAIN ST",26795.34,"Dover Foxcroft"
4470,"Yankee Sports","COOKS COR",0,"Brunswick"
4475,"Rusty Russell Sports","3357 HAZELWOOD RD",26916.39,"Edgewater"
4480,"Personal Best Athletics","43 BALTIMORE ST",0,"Cumberland"
4485,"Crofton Classic Pro Shop Ltd","2126 ESPEY CT",0,"Crofton"
4490,"Day Street Sports Shop","48 DAY ST",0,"Norwood"
4495,"Mvp Sports","291 MYSTIC AVE",8186.48,"Medford"
4500,"South Shore Sport About","26 WHITING ST",0,"Hingham"
4505,"Aaa Sporting Goods Inc","1359 VETERANS MEMORIAL BLVD",24389.03,"Kenner"
4510,"Southern Sporting Goods","2800 JEFFERSON HWY",37234.48,"Jefferson"
4515,"Gerald's Sporting Goods-baits","705 WHITLEY ST",0,"London"
4520,"Phillip Gall's","1555 NEW CIR RD NE",0,"Lexington"
4525,"Batter's Box","1323 US HWY N",0,"Hartford"
4530,"Rusty's Outdoor Sports","1105 E 30TH AVE",22820.4,"Hutchinson"
4535,"R T Sporting Goods Inc","306 N MAIN ST",0,"Garden City"
4540,"B & C Sporting Goods","107 W MAIN ST",5698.57,"Anthony"
4545,"Jimmy's Athletic Apparel","6512 INDIANAPOLIS BLVD",0,"Hammond"
4550,"Allied Sporting Goods","757 E HWY 131",0,"Clarksville"
4555,"Bob's Pro Shop","583 BROADWAY ST",32855.65,"Anderson"
4560,"Active Endeavors","935 W ARMITAGE AVE",0,"Chicago"
4565,"A A Collegiate Pennant Co","3411 N MILWAUKEE AVE",0,"Chicago"
4570,"Pro Image Inc","1485 POLELINE RD E",27836.78,"Twin Falls"
4575,"Elevation Sports","1170 BLUE LAKES BLVD N",11049.7,"Twin Falls"
4580,"Life Style Sports","4400 SERGEANT RD",9652.07,"Sioux City"
4585,"Hometeam Sporting Goods","5511 E UNIVERSITY AVE",6944.98,"Pleasant Hill"
4590,"Harold Nichols Wrestling Eqpt","2416 KNAPP ST",0,"Ames"
4595,"Local Motion","1714 KAPIOLANI BLVD",0,"Honolulu"
4600,"Sports Line","417 KALANIKOA ST",0,"Hilo"
4605,"Bike Shop","258 KAMEHAMEHA AVE",0,"Hilo"
4610,"Euro-equipment Fitness","4880 LOWER ROSWELL RD",16344.4,"Marietta"
4615,"Athletic Exchange","240 COBB PKY S",0,"Marietta"
4620,"Sports Fantasy","300 MARY ESTHER BLVD",5351.89,"Mary Esther"
4625,"Pro Sports Inc","144 MARY ESTHER BLVD Suite 10",0,"Mary Esther"
4630,"Lemi Custom Club","390 N US HWY",2904.25,"Longwood"
4635,"Racing's Total Image","RT 13 & CONCORD RD",0,"Seaford"
4640,"Paceline Cycle Ctr","90 E MAIN ST Suite A",0,"Newark"
4645,"Athlete's Foot","113 CHRISTIANA MALL",29275.6,"Newark"
4650,"Spedo Authenic Fitness","50 MASSACHUSETTS AVE NE",6296.98,"Washington"
4655,"Nash's Sports Ctr","704 LENFANT PLZ SW",15670.49,"Washington"
4660,"Metropolis Bicycles","709 8TH ST SE",0,"Washington"
4665,"Athlete's Foot","942 F ST NW",0,"Washington"
4670,"Connecticut Sporting Goods Co","128 CAPTAINS WALK",23218.56,"New London"
4675,"Oakwood Sports & Fitness Ctr","40 OAKWOOD DR",9133.22,"Glastonbury"
4680,"Instant Replay Sports","115 W GEORGIA AVE",20872.27,"Gunnison"
4685,"Royal Gorge Anglers","1210 ROYAL GORGE BLVD",23919.66,"Canon City"
4690,"Mountain Angler","311 S MAIN ST",0,"Breckenridge"
4695,"Big 5 Sporting Goods","242 WALNUT ST",0,"Redwood City"
4700,"Redondo Sports","1718 S CATALINA AVE",0,"Redondo Beach"
4705,"Adin Supply Co","104 MAIN ST",2019.74,"Adin"
4710,"Popular Surplus Stores","1111 S 4TH AVE",0,"Yuma"
4715,"Arizona Sports Club","4550 E CACTUS RD Suite 94",0,"Phoenix"
4720,"Best Sports Inc","721 W WALNUT ST",0,"Rogers"
4725,"Fitness Tech","2516 CANTRELL RD",0,"Little Rock"
4730,"Tackle Box","3001 S ZERO ST",0,"Fort Smith"
4735,"Pete's Soccer Shop","8408 WHITESBURG DR S",0,"Huntsville"
4740,"Las Vegas Discount Golf/tennis","4925 NW UNIVERSITY DR Suite 188",7225.46,"Huntsville"
4745,"Fishin Hole","139 WARE HOUSE AVE",0,"Soldotna"
4750,"Alaskan Tackle Shop","MILE 96 STERLING HIGHWAY",0,"Soldotna"
4755,"Gary King's Sporting Goods","405 OVERLAND AVE",0,"Kenai"
4760,"Anchor Angler","BEACH RD",11940.33,"Anchor Point"
4765,"Sport Fair Inc","5121 LEE HWY",27097.92,"Arlington"
4770,"Underground Sports","1653 CRYSTAL SQ ARC",1049.98,"Arlington"
4775,"Specialty Sports & Sports Med","20735 ASHBURN RD",7185.9,"Ashburn"
4780,"Twin Creeks Sports","",6351.19,"Bandy"
4785,"Metropolitan Sports","",0,"Annandale"
4790,"Sports Unlimited","HIGHWAY 460 W",12426.19,"Appomattox"
4795,"Champs Sports","1100 S HAYES ST",0,"Arlington"
4800,"Replay Sports","3644 KING ST",40599.8,"Alexandria"
4805,"Skater's Paradise","1602 BELLE VIEW BLVD",0,"Alexandria"
4810,"Annandale Sports Inc","7046 COLUMBIA PIKE",0,"Annandale"
4815,"Academy Sports","547 N MAIN ST",0,"Layton"
4820,"Adventure Sports Inc","51 S MAIN ST",0,"Logan"
4825,"Als Sporting Goods","99 W CTR ST",4856.67,"Logan"
4830,"All American Sports","618 N MAIN ST",4012.29,"Logan"
4835,"Delta Sports Ctr","299 N HWY 6",10527.85,"Delta"
4840,"Custom Sports Lc","207 W 3700 N",4371.15,"Hyde Park"
4845,"Second Mile","204 SNOW CANYON RD",0,"Ivins"
4850,"Brian Head Sports Inc","269 S BRIANHEAD BLVD",0,"Brian Head"
4855,"Cedar City Sports Court","19 N MAIN ST",30063.01,"Cedar City"
4860,"Ron's Sporting Goods","138 S MAIN ST",114.47,"Cedar City"
4865,"Sportsmans","27 STATE ST",0,"Clearfield"
4870,"Lee's","98 N MAIN ST",0,"Beaver"
4875,"Garts Sports","420 W 500 S",11231.5,"Bountiful"
4880,"Scoreboard Sports","133 N MAIN ST",0,"Bountiful"
4885,"Under Par Golf","460 S 200 W",0,"Bountiful"
4890,"Arlington Sporting Goods","2411 S COOPER ST",12894.98,"Arlington"
4895,"Active Athlete Inc","3909 N I H 35",0,"Austin"
4900,"Armadillo Sport","10710 RESEARCH BLVD Suite 112",10085.53,"Austin"
